"%s of the items will be backordered.","%s of the items will be backordered."
"Text Area","Text Area"
"Text Field","Text Field"
"The maximum quantity allowed for purchase &quot;%s - %s&quot; option is %s.","The maximum quantity allowed for purchase &quot;%s - %s&quot; option is %s."
"The minimum quantity allowed for purchase &quot;%s - %s&quot; option is %s.","The minimum quantity allowed for purchase &quot;%s - %s&quot; option is %s."
"The quantity of some custom options of products is not allowed for purchase.","The quantity of some custom options of products is not allowed for purchase."
"There are no Options","There are no Options"
"The requested quantity for &quot;%s&quot; is not available.","The requested quantity for &quot;%s&quot; is not available."
Title,Title
Tooltip,Tooltip
"Total %1$s, processed %2$s products (%3$s%%)...","Total %1$s, processed %2$s products (%3$s%%)..."
"Total %d records found","Total %d records found"
"Total of %d record(s) were not updated because they are linked to products via SKU.","Total of %d record(s) were not updated because they are linked to products via SKU."
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Total price for characters:","Total price for characters:"
Type,Type
"Unable to find Options to save","Unable to find Options to save"
"Unassigned options removed (100%)...","Unassigned options removed (100%)..."
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"Update Assigned Options\' Stock on Save","Update Assigned Options\' Stock on Save"
"Use Config","Use Config"
"Value Name","Value Name"
"Value Qty","Value Qty"
View,View
"View Product","View Product"
Visibility,Visibility
Visible,Visible
WYSIWYG,WYSIWYG
Weight,Weight
"items selected","items selected"
"of %s pages","of %s pages"
" per character"," per character"
"per page","per page"
